timestamp,temperature,statut
2026-03-14 21:40:17,21.6,NORMAL
2026-03-14 21:40:23,21.5,NORMAL
2026-03-14 21:40:28,21.5,NORMAL
2026-03-14 21:40:34,21.5,NORMAL
2026-03-14 21:40:39,21.5,NORMAL
2026-03-14 21:40:45,21.5,NORMAL
2026-03-14 21:40:50,21.5,NORMAL
2026-03-14 21:40:56,21.6,NORMAL
2026-03-14 21:41:01,21.5,NORMAL
2026-03-14 21:41:07,21.5,NORMAL
2026-03-14 21:41:12,21.6,NORMAL
2026-03-14 21:41:18,21.6,NORMAL
2026-03-14 21:41:23,21.6,NORMAL
2026-03-14 21:41:29,21.6,NORMAL
2026-03-14 21:41:34,21.5,NORMAL
2026-03-14 21:41:41,21.5,NORMAL
2026-03-14 21:41:45,21.5,NORMAL
2026-03-14 21:41:51,21.5,NORMAL
2026-03-14 21:41:56,21.5,NORMAL
2026-03-14 21:42:02,21.5,NORMAL
2026-03-14 21:42:07,21.5,NORMAL
2026-03-14 21:42:13,21.5,NORMAL
2026-03-14 21:42:18,21.5,NORMAL
2026-03-14 21:42:24,21.5,NORMAL
2026-03-14 21:42:29,21.5,NORMAL
2026-03-14 21:42:35,21.5,NORMAL
2026-03-14 21:42:40,21.6,NORMAL
2026-03-14 21:42:46,21.6,NORMAL
2026-03-14 21:42:51,21.6,NORMAL
2026-03-14 21:42:57,21.6,NORMAL
2026-03-14 21:43:02,21.6,NORMAL
2026-03-14 21:43:08,21.6,NORMAL
2026-03-14 21:43:14,21.7,NORMAL
2026-03-14 21:43:19,21.8,NORMAL
2026-03-14 21:43:25,21.8,NORMAL
2026-03-14 21:43:30,21.8,NORMAL
2026-03-14 21:43:36,21.8,NORMAL
2026-03-14 21:43:41,21.8,NORMAL
2026-03-14 21:43:47,21.8,NORMAL
2026-03-14 21:43:52,21.8,NORMAL
2026-03-14 21:43:58,21.8,NORMAL
2026-03-14 21:44:03,21.8,NORMAL
2026-03-14 21:44:09,21.8,NORMAL
2026-03-14 21:44:14,21.8,NORMAL
2026-03-14 21:44:20,21.9,NORMAL
2026-03-14 21:44:25,21.8,NORMAL
2026-03-14 21:44:31,21.8,NORMAL
2026-03-14 21:44:36,21.9,NORMAL
2026-03-14 21:44:42,21.9,NORMAL
2026-03-14 21:44:47,21.8,NORMAL
2026-03-14 21:44:53,21.8,NORMAL
2026-03-14 21:44:58,21.8,NORMAL
2026-03-14 21:45:04,21.8,NORMAL
2026-03-14 21:45:09,21.8,NORMAL
2026-03-14 21:45:15,21.9,NORMAL
2026-03-14 21:45:20,21.9,NORMAL
2026-03-14 21:45:26,21.9,NORMAL
2026-03-14 21:45:31,21.9,NORMAL
2026-03-14 21:45:37,21.9,NORMAL
2026-03-14 21:45:42,21.9,NORMAL
2026-03-14 21:45:48,21.9,NORMAL
2026-03-14 21:45:53,21.9,NORMAL
2026-03-14 21:45:59,21.9,NORMAL
2026-03-14 21:46:04,21.9,NORMAL
2026-03-14 21:46:10,21.9,NORMAL
2026-03-14 21:46:15,22,NORMAL
2026-03-14 21:46:21,21.9,NORMAL
2026-03-14 21:46:27,21.9,NORMAL
2026-03-14 21:46:32,21.9,NORMAL
2026-03-14 21:46:38,21.9,NORMAL
2026-03-14 21:46:43,21.9,NORMAL
2026-03-14 21:46:49,21.9,NORMAL
2026-03-14 21:46:54,21.9,NORMAL
2026-03-14 21:47:00,21.9,NORMAL
2026-03-14 21:47:05,21.9,NORMAL
2026-03-14 21:47:11,22,NORMAL
2026-03-14 21:47:16,22,NORMAL
2026-03-14 21:47:22,22,NORMAL
2026-03-14 21:47:27,22,NORMAL
2026-03-14 21:47:33,22,NORMAL
2026-03-14 21:47:38,22,NORMAL
2026-03-14 21:47:44,22,NORMAL
2026-03-14 21:47:49,22,NORMAL
2026-03-14 21:47:55,22,NORMAL
2026-03-14 21:48:00,22,NORMAL
2026-03-14 21:48:06,22,NORMAL
2026-03-14 21:48:11,22,NORMAL
2026-03-14 21:48:17,22,NORMAL
2026-03-14 21:48:22,22.1,NORMAL
2026-03-14 21:48:28,22,NORMAL
2026-03-14 21:48:33,22,NORMAL
2026-03-14 21:48:39,22,NORMAL
2026-03-14 21:48:44,22,NORMAL
2026-03-14 21:48:50,21.9,NORMAL
